SKU;Artículo;UMedida
10337;"NIPLE GALVANIZADO 1.1/4X6"" (31.7 mm x 15.24 cm) ";Uni
10343;"NIPLE GALVANIZADO 1.1/4X12"" (31.75 mm x 30.48 cm) ";Uni
103450;ABRILLANTADOR PARA HOJAS 1 L HAPPY PLANT;Uni
10346;"NIPLE GALVANIZADO 1.1/2X2.1/2"" (38.1 mm x 6.35 cm) ";Uni
10349;"NIPLE GALVANIZADO 1.1/2X5"" (38.1 mm x 12.7 cm) ";Uni
10352;"NIPLE GALVANIZADO 1.1/2X8"" (38.1 mm x 20.35 cm) ";Uni
103542;"RUEDA TUBULAR 4.1X3.5X4"" (104.1 x 88.9 x 101.6 mm) CON GRASERA ";Uni
10355;"NIPLE GALVANIZADO 1.1/2X11"" (38.1 cm x 27.9 cm) ";Uni
103586;SEMILLA DE GRAMA COSTA 1 kg                                   ;Uni
103587;SEMILLA ALCACHOFA TALPIOT                                   ;Uni
103589;SEMILLA CEBOLLA BARLETTA                                    ;Uni
10359;"NIPLE GALVANIZADO 2X2.1/2"" (50.8 mm x 6.35 cm) ";Uni
103609;SEGURO PARA VENTANA DE GUILLOTINA 2530-WH                   ;Uni
10361;"NIPLE GALVANIZADO 2X4"" (50.8 mm x 10.16 cm ) ";Uni
103610;SEGURO PARA VENTANA DE GUILLOTINA 2530-DU                   ;Uni
103611;RODO PARA PUERTA DE VENTANA D4700                           ;Uni
103377;FORRO PARA TIMON NEGRO/CROMADO HUILI HL603BK/ST             ;Uni
103378;FORRO PARA TIMON NEGRO/AZUL HUILI HL611BK/BL                ;Uni
103379;FORRO PARA TIMON NEGRO HUILI HL611BK                        ;Uni
103386;FORRO PARA TIMON NEGRO/ROJO HUILI HL617BK/RD                ;Uni
103391;FORRO PARA TIMON NEGRO/GRIS HUILI HL618BK/GY                ;Uni
103392;FORRO PARA TIMON M NEGRO/ROJO HUILI HL618BK/RD;Uni
103399;FORRO PARA TIMON NEGRO/GRIS HUILI HL653BK/GY                ;Uni
103400;FORRO PARA TIMON NEGRO/BEIGE HUILI HL653BK/BE               ;Uni
103405;FORRO PARA TIMON NEGRO HUILI HL658BK                        ;Uni
103422;FORRO PARA TIMON NEGRO/MADERA HUILI HL687BK/WO              ;Uni
103423;FORRO PARA TIMON NEGRO/GRIS HUILI HL687BK/GY                ;Uni
103428;FORRO PARA TIMON BEIGE HUILI HL690BE                        ;Uni
103429;FORRO PARA TIMON NEGRO HUILI HL690BK                        ;Uni
103443;FORRO PARA TIMON NEGRO/GRIS HUILI HL727BK/GY                ;Uni
103451;VENENO PARA HORMIGAS GREEN GARDEN                           ;Uni
103453;SENSOR DE MOVIMIENTO 800W BTICINO WSP250W;Uni
103632;PEGAMENTO PARA PVC 1/32 DE GALON (118 mL);Uni
103633;PEGAMENTO PARA PVC 1/16 DE GALON (236 mL);Uni
103664;CAJA TERMICA TRIFASICA 12ESP 100A ABB TL12412C ;Uni
103669;CAJA TERMICA TRIFASICA 12ESP 100A CON MAIN ABB TM12410C ;Uni
103671;CAJA TERMICA TRIFASICA 24ESP 200A CON MAIN ABB TM24420C ;Uni
103672;CAJA TERMICA TRIFASICA 30ESP 200A CON MAIN ABB TM30420C ;Uni
10370;FLUIDO PARA ENCENDEDOR 5.82OZ BUTANO ZIPPO 3810-140083;Uni
